filename,N_gt,N_asr,M,S,I,D,wer,recall,precision,f1_score
common_voice_he_38623348,12,12,11,1,0,0,0.083,0.917,0.917,0.917
common_voice_he_39937168,12,12,11,1,0,0,0.083,0.917,0.917,0.917
common_voice_he_39753055,13,14,13,0,1,0,0.077,1,0.929,0.963
common_voice_he_38142101,13,13,12,1,0,0,0.077,0.923,0.923,0.923
common_voice_he_39327183,13,13,12,1,0,0,0.077,0.923,0.923,0.923
common_voice_he_38146702,13,13,12,1,0,0,0.077,0.923,0.923,0.923
common_voice_he_38078785,13,13,12,1,0,0,0.077,0.923,0.923,0.923
common_voice_he_39753088,14,14,13,1,0,0,0.071,0.929,0.929,0.929
common_voice_he_38118859,14,14,13,1,0,0,0.071,0.929,0.929,0.929
common_voice_he_38085657,14,14,13,1,0,0,0.071,0.929,0.929,0.929
common_voice_he_39753600,14,14,13,1,0,0,0.071,0.929,0.929,0.929
common_voice_he_39327152,15,15,14,1,0,0,0.067,0.933,0.933,0.933
common_voice_he_39327065,15,14,14,0,0,1,0.067,0.933,1,0.966
common_voice_he_40612866,15,15,14,1,0,0,0.067,0.933,0.933,0.933
common_voice_he_40909689,15,15,14,1,0,0,0.067,0.933,0.933,0.933
common_voice_he_39785418,15,15,14,1,0,0,0.067,0.933,0.933,0.933
common_voice_he_40909692,16,16,15,1,0,0,0.062,0.938,0.938,0.938
common_voice_he_39327198,17,17,16,1,0,0,0.059,0.941,0.941,0.941
common_voice_he_39326865,18,18,17,1,0,0,0.056,0.944,0.944,0.944
common_voice_he_38078782,19,19,18,1,0,0,0.053,0.947,0.947,0.947
common_voice_he_43503055,19,19,18,1,0,0,0.053,0.947,0.947,0.947
common_voice_he_39327041,20,20,19,1,0,0,0.050,0.950,0.950,0.950
common_voice_he_39753586,23,23,22,1,0,0,0.043,0.957,0.957,0.957
common_voice_he_39753639,10,10,10,0,0,0,0,1,1,1
common_voice_he_39753541,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753615,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753616,10,10,10,0,0,0,0,1,1,1
common_voice_he_39753618,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753542,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753620,6,6,6,0,0,0,0,1,1,1
common_voice_he_39753631,19,19,19,0,0,0,0,1,1,1
common_voice_he_39753501,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753626,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753640,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753629,6,6,6,0,0,0,0,1,1,1
common_voice_he_39753630,7,7,7,0,0,0,0,1,1,1
common_voice_he_39753518,6,6,6,0,0,0,0,1,1,1
common_voice_he_39753544,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753601,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753613,14,14,14,0,0,0,0,1,1,1
common_voice_he_39753574,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753570,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753543,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753571,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753520,15,15,15,0,0,0,0,1,1,1
common_voice_he_39753572,6,6,6,0,0,0,0,1,1,1
common_voice_he_39753573,20,20,20,0,0,0,0,1,1,1
common_voice_he_39753587,7,7,7,0,0,0,0,1,1,1
common_voice_he_39753603,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753519,17,17,17,0,0,0,0,1,1,1
common_voice_he_39753588,6,6,6,0,0,0,0,1,1,1
common_voice_he_39753589,10,10,10,0,0,0,0,1,1,1
common_voice_he_39753521,10,10,10,0,0,0,0,1,1,1
common_voice_he_39753545,12,12,12,0,0,0,0,1,1,1
common_voice_he_39753602,23,23,23,0,0,0,0,1,1,1
common_voice_he_39753590,13,13,13,0,0,0,0,1,1,1
common_voice_he_39753651,7,7,7,0,0,0,0,1,1,1
common_voice_he_39350852,10,10,10,0,0,0,0,1,1,1
common_voice_he_39771199,16,16,16,0,0,0,0,1,1,1
common_voice_he_39771143,5,5,5,0,0,0,0,1,1,1
common_voice_he_39771144,8,8,8,0,0,0,0,1,1,1
common_voice_he_39771145,11,11,11,0,0,0,0,1,1,1
common_voice_he_41616558,8,8,8,0,0,0,0,1,1,1
